Date,Open,High,Low,Close,Adj Close,Volume
2019-05-01,57.529999,57.529999,52.520000,52.750000,50.116978,145399300
2019-06-01,52.900002,58.580002,52.750000,58.500000,55.579967,187952400
2019-07-01,58.930000,59.529999,57.270000,58.340000,55.759445,119850900
2019-08-01,58.270000,59.160000,54.680000,56.689999,54.182430,175114300
2019-09-01,56.250000,59.320000,55.860001,58.200001,55.625633,107111000
2019-10-01,58.290001,59.070000,55.099998,58.189999,55.895695,136273200
2019-11-01,58.490002,60.810001,58.430000,60.040001,57.672760,77812900
2019-12-01,59.939999,61.610001,58.619999,61.419998,58.998344,100001600
2020-01-01,61.830002,61.939999,57.439999,57.630001,55.662956,151944000
2020-02-01,57.849998,61.290001,51.150002,52.720001,50.920544,201024100
2020-03-01,53.220001,56.790001,37.689999,45.040001,43.502678,315242300
2020-04-01,43.389999,53.740002,42.419998,51.880001,50.444023,189011700
2020-05-01,50.980000,55.889999,48.320000,55.450001,53.915211,96583700
2020-06-01,55.470001,60.290001,53.290001,56.349998,54.790298,147750600
2020-07-01,56.410000,62.590000,55.700001,60.360001,59.011780,142596500
2020-08-01,60.669998,64.029999,59.660000,62.990002,61.583035,83466200
2020-09-01,62.990002,67.139999,60.930000,63.639999,62.218517,174419000
2020-10-01,63.939999,66.970001,61.540001,63.180000,62.059635,155618000
2020-11-01,64.129997,72.410004,63.959999,70.989998,69.731140,133623400
2020-12-01,72.199997,72.510002,69.970001,72.389999,71.106316,91882100
2021-01-01,73.029999,77.769997,70.010002,70.639999,69.734032,169903800
2021-02-01,71.370003,76.580002,70.320000,73.550003,72.606720,130766700
2021-03-01,74.519997,80.169998,72.339996,78.800003,77.789398,184600600
2021-04-01,78.930000,83.970001,78.449997,83.040001,82.321182,120549900
2021-05-01,83.750000,89.209999,83.660004,87.260002,86.504654,148041600
2021-06-01,88.269997,88.620003,80.739998,82.309998,81.597488,158093500
2021-07-01,82.970001,84.540001,78.680000,84.019997,83.654289,157177600
2021-08-01,84.419998,86.629997,82.370003,85.610001,85.237373,135891300
2021-09-01,85.519997,86.110001,78.370003,79.110001,78.765663,151235900
2021-10-01,79.489998,86.269997,78.889999,85.120003,85.120003,132093500
2021-10-29,85.209999,85.830002,84.809998,85.120003,85.120003,4349562
